RawOrganizationKey,CorrelationID,EIN,TaxCode,IDFromNetwork,IDFromBuyer,DunsNumber,ComplianceVendorID,CompanyNumber,OrganizationName,CurrentAlternativeLegalName,Branch,RegisteredBusinessName,Address1,Address2,City,State,Zip,Country,CompanyGeoLatLong,PhoneNumber,FaxNumber,CompanyURL,DateOfCompanyRegistration,DateOfStartingOperation,TypeOfOwnership,ContactPersonName,ContactPersonEmail,ContactPersonPhone,ContactPersonName2,ContactPersonEmail2,ContactPersonPhone2,CompanyBusinessDescription,IndustryDescription,IndustryCode,BusinessClassification,NumberOfEmployees,Revenue,Certifications,CertificateOfInsurance,W9,F1099,ISOCertificates,SOC1Type2,IncorporationDocument,JurisdictionCode,NormalisedName,CompanyType,Nonprofit,CurrentStatus,DissolutionDate,BusinessNumber,CurrentAlternativeLegalNameLanguage,HomeJurisdictiontext,NativeCompanyNumber,PreviousName,AlternativeNames,RetrievedAt,RegistryUrl,RestrictedForMarketing,RegisteredAddressInFull,PrimaryUserID,CreatedDate,CreatedBy,CreatedByKey,ModifiedDate,ModifiedBy,ModifiedByKey,StreetAddress,Address3,SpendPurchaseAmount,PriorityLevel,ParentCompanyName,ParentCompanyAddress,ParentCompanyAddress1,ParentCompanyAddress2,ParentCompanyAddress3,ParentCompanyCity,ParentCompanyState,ParentCompanyCountry,ParentCompanyZip,TIN,VAT,RegistrationNumber,StreetAddress2,City2,State2,Country2,Zip2
5222407,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dell Marketing LP,NULL,NULL,Dell Marketing LP,1 Dell Way,NULL,Round Rock,TX,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,1 Dell Way,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5222408,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Secureworks Inc,NULL,NULL,Secureworks Inc,NULL,NULL,Atlanta,GA,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5222409,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Integrated Research Inc,NULL,NULL,Integrated Research Inc,7600 E Eastman Ave,NULL,Denver,CO,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,7600 E Eastman Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5222410,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ims Health Inc,NULL,NULL,Ims Health Inc,81 9 Pkwy N,NULL,Deerfield,IL,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,81 9 Pkwy N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5222411,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,McGladrey LLP,NULL,NULL,McGladrey LLP,1185 Avenue Of The Americas,NULL,New York,NY,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,1185 Avenue Of The Americas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5222412,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chapel Steel,NULL,NULL,Chapel Steel,26400 Richmond Rd,NULL,Bedford,OH,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,26400 Richmond Rd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5222413,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Irmco,NULL,NULL,Irmco,NULL,NULL,Arlington,TX,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5222414,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Verizon Wireless,NULL,NULL,Verizon Wireless,13020 Worth Ave,NULL,Woodbridge,VA,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,13020 Worth Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5222415,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Microsoft Corp,NULL,NULL,Microsoft Corp,1512 18th Ave,NULL,Seattle,WA,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,1512 18th Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5222416,ashish_2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mastercard Inc,NULL,NULL,Mastercard Inc,200 Purchase St,NULL,Purchase,NY,NULL,US,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,20:23.1,TradeDirectoryDBAdmin,NULL,200 Purchase St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
